Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,43,26/01/2016,34-009,MIA,@,BRK,1,32:26:00,11,22,0.5,0,0,,5,5,1,1,3,4,8,3,2,3,1,27,24.2,6
47,44,29/01/2016,34-012,MIA,@,MIL,1,32:14:00,7,13,0.538,0,0,,10,13,0.769,1,3,4,7,3,3,4,2,24,23.3,1
48,45,31/01/2016,34-014,MIA,,ATL,1,28:53:00,5,12,0.417,0,0,,7,8,0.875,0,4,4,8,2,1,3,1,17,16.3,12
49,46,02/02/2016,34-016,MIA,@,HOU,1,29:23:00,6,18,0.333,0,0,,4,6,0.667,3,1,4,4,1,1,3,0,16,8.9,-11
50,47,03/02/2016,34-017,MIA,@,DAL,1,28:15:00,6,19,0.316,0,1,0,6,8,0.75,4,4,8,4,1,0,1,0,18,13.1,-4
51,48,05/02/2016,34-019,MIA,@,CHO,1,29:40:00,11,20,0.55,0,0,,0,0,,1,2,3,5,2,0,3,2,22,15.4,-7
52,49,07/02/2016,34-021,MIA,,LAC,1,32:12:00,7,20,0.35,0,0,,3,5,0.6,1,2,3,3,1,0,4,3,17,4.2,-2
53,50,09/02/2016,34-023,MIA,,SAS,1,30:50:00,9,12,0.75,0,0,,2,3,0.667,0,0,0,5,1,0,2,2,20,16.5,-14
54,,19/02/2016,34-033,MIA,@,ATL,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
55,,20/02/2016,34-034,MIA,,WAS,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
56,51,22/02/2016,34-036,MIA,,IND,1,39:11:00,4,21,0.19,0,2,0,8,10,0.8,1,4,5,3,1,1,5,4,16,1.2,8
57,52,24/02/2016,34-038,MIA,,GSW,1,32:38:00,11,20,0.55,0,0,,10,11,0.909,1,2,3,7,1,1,4,4,32,24.3,-13
58,53,27/02/2016,34-041,MIA,@,BOS,1,33:28:00,7,19,0.368,0,1,0,5,7,0.714,1,4,5,3,1,0,4,0,19,8.7,-13
59,54,28/02/2016,34-042,MIA,@,NYK,1,32:17:00,9,20,0.45,0,0,,8,10,0.8,1,6,7,6,2,0,2,2,26,20.7,8
60,55,01/03/2016,34-044,MIA,,CHI,1,34:13:00,7,13,0.538,0,0,,4,6,0.667,0,2,2,7,1,1,5,5,18,11.1,13
61,56,03/03/2016,34-046,MIA,,PHO,1,33:00:00,9,17,0.529,0,0,,9,10,0.9,1,3,4,7,0,0,2,1,27,22.4,13
62,57,04/03/2016,34-047,MIA,@,PHI,1,26:29:00,7,16,0.438,0,0,,7,9,0.778,2,6,8,4,3,1,4,2,21,16.7,4
