Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,66,19/03/2018,23-103,MIL,@,CLE,1,38:36:00,13,20,0.65,0,2,0,11,11,1,3,8,11,5,1,0,2,4,37,33.6,-1
71,67,21/03/2018,23-105,MIL,,LAC,1,16:40,5,9,0.556,0,1,0,2,3,0.667,0,2,2,2,1,3,4,1,12,8,-5
72,,23/03/2018,23-107,MIL,@,CHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,68,25/03/2018,23-109,MIL,,SAS,1,37:58:00,9,16,0.563,3,4,0.75,4,5,0.8,2,8,10,3,1,0,3,3,25,19.7,7
74,69,27/03/2018,23-111,MIL,@,LAC,1,39:32:00,10,16,0.625,1,2,0.5,5,9,0.556,2,7,9,7,0,5,4,0,26,25.1,-4
75,70,29/03/2018,23-113,MIL,@,GSW,1,34:41:00,14,18,0.778,2,3,0.667,2,2,1,1,3,4,5,2,0,1,3,32,29.9,23
76,71,30/03/2018,23-114,MIL,@,LAL,1,42:31:00,8,20,0.4,0,0,,11,15,0.733,6,10,16,4,0,1,4,5,27,19.3,-16
77,72,01/04/2018,23-116,MIL,@,DEN,1,32:49:00,7,13,0.538,1,2,0.5,3,6,0.5,2,10,12,6,1,0,4,6,18,13.7,8
78,73,03/04/2018,23-118,MIL,,BOS,1,36:25:00,11,22,0.5,0,3,0,7,8,0.875,1,10,11,6,1,2,5,3,29,21.7,-11
79,74,05/04/2018,23-120,MIL,,BRK,1,36:07:00,7,21,0.333,0,3,0,5,5,1,0,10,10,7,4,1,1,2,19,17.9,-11
80,,07/04/2018,23-122,MIL,@,NYK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,09/04/2018,23-124,MIL,,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,75,11/04/2018,23-126,MIL,@,PHI,1,22:00,5,14,0.357,0,1,0,0,0,,1,9,10,3,0,0,5,2,10,1.9,-26
1,1,17/10/2018,23-315,MIL,@,CHO,1,34:46:00,9,21,0.429,0,3,0,7,12,0.583,3,15,18,8,0,1,8,5,25,14.8,11
2,2,19/10/2018,23-317,MIL,,IND,1,31:59:00,12,23,0.522,0,6,0,2,3,0.667,3,12,15,5,2,1,6,4,26,18.6,14
3,3,22/10/2018,23-320,MIL,,NYK,1,36:55:00,13,29,0.448,1,3,0.333,4,6,0.667,9,6,15,4,0,2,3,4,31,22.8,9
4,4,24/10/2018,23-322,MIL,,PHI,1,37:21:00,12,24,0.5,0,3,0,8,9,0.889,3,15,18,10,2,3,5,4,32,30.7,11
5,5,26/10/2018,23-324,MIL,@,MIN,1,23:29,5,9,0.556,0,1,0,5,6,0.833,0,12,12,6,0,2,4,4,15,13.9,15
6,6,27/10/2018,23-325,MIL,,ORL,1,19:23,9,12,0.75,0,0,,3,4,0.75,0,7,7,1,0,1,4,2,21,14.5,14
7,,29/10/2018,23-327,MIL,,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7,01/11/2018,23-330,MIL,@,BOS,1,36:16:00,13,22,0.591,0,1,0,7,11,0.636,2,9,11,2,3,0,4,2,33,24.9,-4
